"CardName","Program","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","MaxValue","isMax","newMax","x2017.04.04.1","x2017.04.04","x2017.04.03","x2017.03.23","x2017.03.22","x2017.03.21","x2017.03.19","x2017.03.18","x2017.03.16","x2017.03.15","x2017.03.14","x2017.03.13","x2017.03.10","x2017.03.09","x2017.03.07","x2017.03.06","x2017.03.03","x2017.03.02","x2017.03.01","x2017.02.28","x2017.02.27","x2017.02.24","x2017.02.23","x2017.02.22","x2017.02.21","x2017.02.16","x2017.02.15","x2017.02.13"
"Barclaycard Arrival Plus World Elite MasterCard","Barclaycard Arrival","Barclay","https://home.barclaycardus.com/cards/barclaycard-arrival-plus-world-elite-mastercard.html","Earn 50,000 bonus miles after spending $3,000 on purchases in the first 90 days",0,50000,0,0,1,89,3000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/bcus-arrival-plus1.png",0.01,500,TRUE,FALSE,500,500,500,500,500,500,500,500,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411
"Barclaycard CashForward World MasterCard","Barclaycard Arrival Miles","Barclay","https://home.barclaycardus.com/cards/barclaycard-cashforward.html","Get a $100 cash rewards bonus with qualifying transactions",100,0,0,0,0,0,500,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/cashforward1.png",0.01,100,TRUE,FALSE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Barclaycard Ring MasterCard","Barclaycard Arrival Miles","Barclay","https://home.barclaycardus.com/cards/barclaycard-ring-mastercard.html",NA,0,0,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/bcus-ring1.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barclaycard Visa with Apple Rewards","Barclaycard Arrival Miles","Barclay","https://home.barclaycardus.com/cards/barclaycard-visa-apple-rewards.html",NA,0,0,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/apple1_ns.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bass Pro Shops Outdoor Rewards","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/bass-pro-shops-credit-card/","Earn unlimited Outdoor Rewards and redeem at any Bass Pro Shops to start saving on the gear you want the most",0,0,0,0,0,0,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/dbdv_rewwldvhd_mc_250x158.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Cash Card from American Express","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/blue-cash/","Enjoy Cash Back Rewards<U+0087>",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue-cash.png",0.019,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Cash Everyday Card from American Express","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/","LIMITED TIME OFFER10% Back at U.S. RestaurantsApply by 05/03/17 to earn 10% back at U.S. Restaurants on the Card within the first 6 months of Card Membership, up to $200 back in statement credits.<U+0086> PLUS, EARN $100 BACK after you spend $1,000 in purchases on the Card within the first 3 months of Card Membership.<U+0086>",100,0,0,0,0,0,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue-cash-everyday.png",0.019,100,TRUE,FALSE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Blue Cash Preferred Card from American Express","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/","LIMITED TIME OFFER10% Back at U.S. RestaurantsApply by 05/03/17 to earn 10% back at U.S. Restaurants on the Card within the first 6 months of Card Membership, up to $200 back in statement credits.<U+0086> PLUS, EARN $150 BACK after you spend $1,000 in purchases on the Card within the first 3 months of Card Membership.<U+0086>",150,0,0,0,0,95,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue-cash-preferred.png",0.019,150,FALSE,FALSE,55,55,55,55,55,55,55,55,150,55,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,55,55,55,55,55
"Blue for Business Credit Card","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/small-business/credit-cards/american-express-blue-for-business-credit-card/44281?linknav=us-acq-open-aj-allcards-blueforbusiness-lm","Earn 10,000 Membership Rewards<U+00AE> pointsafter making your first purchase on the Card within your first 3 months of Card Membership.<U+0086>",0,10000,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-79.png?version=8",0.019,190,TRUE,FALSE,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
"Blue from American Express Card","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/blue/","Earn Rewards with No Annual Fee",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue.png",0.019,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Sky from American Express Card","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/blue-sky/","Flexible Travel Rewardsand no annual fee.<U+0087><U+00A4>",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue-sky.png",0.019,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"British Airways Visa Signature card","British Airways","Chase","https://creditcards.chase.com/credit-cards/british-airways?iCELL=61FY","50,000 bonus Avios after you spend $3,000 on purchases within the first 3 months of account opening.",0,50000,0,0,0,95,3000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/ba_sig_card.png",0.015,750,FALSE,FALSE,655,655,655,655,655,655,655,655,750,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655
"Business Green Rewards Card","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/small-business/credit-cards/american-express-green-business-card/44281?linknav=us-acq-open-aj-allcards-greenrewards-lm","Earn 5,000 Membership Rewards<U+00AE> points after your first purchase on the Card.<U+0086>",0,5000,0,0,1,95,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-89.png?version=8",0.019,95,TRUE,FALSE,95,95,95,95,95,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0
"Carnival World MasterCard","Carnival","Barclay","https://home.barclaycardus.com/cards/carnival-world-mastercard.html","10,000 Bonus <U+0093>FunPoints<U+00AE><U+0094> after first purchase",0,10000,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/SMC_card_rRGB_CarnivalWM_EMV_230x157.png",0.01,100,TRUE,FALSE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Celebrity Cruises","Celebrity","BOA","https://www.bankofamerica.com/credit-cards/products/celebrity-cruises-credit-card/","10,000 MyCruise<U+00AE> bonus points offer",0,10000,0,0,0,69,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/ragf_sigcm_v_fee_250x158.png",0.01,100,FALSE,FALSE,31,31,31,31,31,31,31,31,100,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"Chase Freedom","Chase Ultimate Rewards","Chase","https://creditcards.chase.com/credit-cards/chase-freedom?iCELL=61FY","$150 bonus after you spend $500 on purchases in the first 3 months from account opening.",150,0,0,0,0,0,500,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/freedom_card.png",0.021,150,TRUE,FALSE,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
